t,cmd,id,pos_deg,spd_erpm,spd_deg_s,cur_a,temp_c,err
0.0000,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,0.00,32,0
0.0213,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.27,32,0
0.0413,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,0.0,10,0.32,-0.01,33,0
0.0613,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,0.0,40,1.27,0.19,33,0
0.0823,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,0.1,360,11.43,-0.05,32,0
0.1008,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,0.4,270,8.57,0.58,32,0
0.1222,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,0.7,550,17.46,0.56,32,0
0.1421,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,1.1,640,20.32,0.53,32,0
0.1607,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,1.6,710,22.54,0.11,32,0
0.1806,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,2.1,810,25.71,0.09,32,0
0.2023,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,2.7,900,28.57,0.60,33,0
0.2223,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,3.3,990,31.43,0.33,33,0
0.2413,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,4.0,1140,36.19,0.02,33,0
0.2605,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,4.7,1210,38.41,0.56,32,0
0.2825,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,5.6,1290,40.95,0.04,32,0
0.3022,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,6.5,1400,44.44,0.62,32,0
0.3211,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,7.4,1520,48.25,0.08,32,0
0.3413,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,8.4,1620,51.43,0.60,32,0
0.3605,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,9.5,1720,54.60,0.05,32,0
0.3818,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,10.7,1820,57.78,0.43,32,0
0.4012,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,11.9,1930,61.27,0.28,32,0
0.4206,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,13.1,2000,63.49,0.10,32,0
0.4413,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,14.4,2010,63.81,0.51,32,0
0.4605,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,15.7,2020,64.13,0.29,32,0
0.4826,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,17.0,2020,64.13,0.06,32,0
0.5003,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,18.3,2030,64.44,0.49,32,0
0.5200,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,19.6,2030,64.44,0.36,32,0
