t,cmd,id,pos_deg,spd_erpm,spd_deg_s,cur_a,temp_c,err
0.0000,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,0.00,34,0
0.0210,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.05,34,0
0.0402,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.06,34,0
0.0612,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.07,34,0
0.0825,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.05,34,0
0.1025,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.06,34,0
0.1217,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.08,34,0
0.1401,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.06,34,0
0.1610,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.07,34,0
0.1827,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.07,34,0
0.2018,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.05,34,0
0.2212,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.07,34,0
0.2410,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.07,34,0
0.2607,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.06,34,0
0.2819,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.06,34,0
0.3023,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.06,34,0
0.3222,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.05,34,0
0.3417,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.05,34,0
0.3624,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.07,34,0
0.3819,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.06,34,0
0.4018,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.05,34,0
0.4217,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.07,34,0
0.4414,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.05,34,0
0.4623,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.05,34,0
0.4802,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.06,34,0
0.5018,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.05,34,0
0.5216,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.05,34,0
0.5415,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.06,34,0
0.5601,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.06,34,0
0.5806,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.06,34,0
0.6008,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.05,34,0
0.6209,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.06,34,0
0.6409,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.05,34,0
0.6615,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.05,34,0
0.6806,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.05,34,0
0.7013,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.04,34,0
0.7220,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.06,34,0
0.7414,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.05,34,0
0.7601,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.07,34,0
0.7825,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.06,34,0
0.8025,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.05,34,0
0.8216,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.04,34,0
0.8415,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.06,34,0
0.8604,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.05,34,0
0.8803,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.05,34,0
0.9012,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.06,34,0
0.9219,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.04,34,0
0.9429,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.05,34,0
0.9602,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.06,34,0
0.9821,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.05,34,0
1.0002,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.06,34,0
1.0213,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.06,34,0
1.0424,位置-速度 0.0 deg (最高2000 ERPM, 加速5000),43,0.0,0,0.00,-0.06,34,0
