t,cmd,id,pos_deg,spd_erpm,spd_deg_s,cur_a,temp_c,err
0.0000,位置 90.0 deg,43,0.0,0,0.00,0.00,37,0
0.0224,位置 90.0 deg,43,0.9,3100,98.41,5.62,37,0
0.0424,位置 90.0 deg,43,9.7,16030,508.89,4.88,37,0
0.0606,位置 90.0 deg,43,26.9,29340,931.43,-2.49,37,0
0.0824,位置 90.0 deg,43,43.9,25790,818.73,-1.84,37,0
0.1008,位置 90.0 deg,43,57.4,20580,653.33,-1.41,37,0
0.1215,位置 90.0 deg,43,67.9,15690,498.10,-1.05,37,0
0.1409,位置 90.0 deg,43,75.8,11780,373.97,-0.83,37,0
0.1618,位置 90.0 deg,43,81.5,8430,267.62,-0.52,37,0
0.1801,位置 90.0 deg,43,85.4,5750,182.54,-0.08,37,0
0.2011,位置 90.0 deg,43,87.9,3740,118.73,-0.37,37,0
0.2207,位置 90.0 deg,43,89.5,2300,73.02,0.00,37,0
0.2413,位置 90.0 deg,43,90.5,1320,41.90,-0.21,37,0
0.2601,位置 90.0 deg,43,90.9,640,20.32,0.34,37,0
0.2810,位置 90.0 deg,43,91.1,170,5.40,0.64,37,0
0.3016,位置 90.0 deg,43,91.1,-20,-0.63,0.50,37,0
0.3220,位置 90.0 deg,43,91.1,-30,-0.95,-0.09,37,0
0.3402,位置 90.0 deg,43,91.0,-40,-1.27,0.17,37,0
0.3619,位置 90.0 deg,43,91.0,-150,-4.76,0.08,37,0
0.3823,位置 90.0 deg,43,90.8,-310,-9.84,-0.07,37,0
0.4002,位置 90.0 deg,43,90.7,-60,-1.90,0.62,37,0
0.4207,位置 90.0 deg,43,90.5,-250,-7.94,0.35,37,0
0.4408,位置 90.0 deg,43,90.4,-60,-1.90,0.76,37,0
0.4613,位置 90.0 deg,43,90.3,-200,-6.35,0.45,37,0
0.4811,位置 90.0 deg,43,90.3,-20,-0.63,0.85,37,0
0.5023,位置 90.0 deg,43,90.2,-20,-0.63,0.94,37,0
0.5204,位置 90.0 deg,43,90.1,-330,-10.48,0.17,37,0
0.5430,位置 90.0 deg,43,90.0,-190,-6.03,0.31,37,0
0.5622,位置 90.0 deg,43,90.0,-30,-0.95,0.61,37,0
0.5813,位置 90.0 deg,43,90.0,0,0.00,0.67,37,0
0.6001,位置 90.0 deg,43,90.0,0,0.00,0.65,37,0
0.6202,位置 90.0 deg,43,90.0,0,0.00,0.62,37,0
0.6422,位置 90.0 deg,43,90.0,0,0.00,0.67,37,0
0.6624,位置 90.0 deg,43,90.0,0,0.00,0.66,37,0
0.6814,位置 90.0 deg,43,90.0,0,0.00,0.67,37,0
0.7013,位置 90.0 deg,43,90.0,0,0.00,0.68,37,0
0.7206,位置 90.0 deg,43,90.0,0,0.00,0.68,37,0
0.7416,位置 90.0 deg,43,90.0,0,0.00,0.66,37,0
0.7618,位置 90.0 deg,43,90.0,0,0.00,0.66,37,0
0.7813,位置 90.0 deg,43,90.0,0,0.00,0.65,37,0
0.8003,位置 90.0 deg,43,90.0,0,0.00,0.65,37,0
0.8216,位置 90.0 deg,43,90.0,0,0.00,0.70,37,0
0.8424,位置 90.0 deg,43,90.0,0,0.00,0.78,37,0
0.8601,位置 90.0 deg,43,90.0,0,0.00,0.75,37,0
0.8816,位置 90.0 deg,43,90.0,0,0.00,0.77,37,0
0.9021,位置 90.0 deg,43,90.0,0,0.00,0.78,37,0
0.9222,位置 90.0 deg,43,90.0,0,0.00,0.80,37,0
0.9410,位置 90.0 deg,43,90.0,0,0.00,0.78,37,0
0.9629,位置 90.0 deg,43,90.0,0,0.00,0.80,37,0
0.9808,位置 90.0 deg,43,90.0,0,0.00,0.80,37,0
1.0023,位置 90.0 deg,43,90.0,0,0.00,0.76,37,0
1.0218,位置 90.0 deg,43,90.0,0,0.00,0.78,37,0
1.0404,位置 90.0 deg,43,90.0,0,0.00,0.79,37,0
1.0623,位置 90.0 deg,43,90.0,0,0.00,0.77,37,0
1.0801,位置 90.0 deg,43,90.0,0,0.00,0.75,37,0
1.1001,位置 90.0 deg,43,90.0,0,0.00,0.78,37,0
1.1206,位置 90.0 deg,43,90.0,0,0.00,0.77,37,0
1.1408,位置 90.0 deg,43,90.0,0,0.00,0.74,37,0
1.1615,位置 90.0 deg,43,90.0,0,0.00,0.77,37,0
