t,target_deg,pos_deg,spd,cur,src
0.0000,52.000,52.000,0.000,0.0000,servo
0.0209,52.000,52.500,1620.000,39.7100,servo
0.0402,52.000,52.500,1620.000,39.7100,servo
0.0602,52.000,52.500,1620.000,39.7100,servo
0.0803,52.000,52.500,1620.000,39.7100,servo
0.1005,52.000,52.500,1620.000,39.7100,servo
0.1202,52.000,52.500,1620.000,39.7100,servo
0.1402,52.000,52.500,1620.000,39.7100,servo
0.1602,52.000,52.500,1620.000,39.7100,servo
0.1801,52.000,52.500,1620.000,39.7100,servo
0.2020,52.000,52.500,1620.000,39.7100,servo
0.2202,52.000,52.500,1620.000,39.7100,servo
0.2423,52.000,52.500,1620.000,39.7100,servo
0.2602,52.000,52.500,1620.000,39.7100,servo
0.2806,52.000,52.500,1620.000,39.7100,servo
0.3021,52.000,52.500,1620.000,39.7100,servo
0.3201,52.000,52.500,1620.000,39.7100,servo
0.3415,52.000,52.500,1620.000,39.7100,servo
0.3616,52.000,52.500,1620.000,39.7100,servo
0.3820,52.000,52.500,1620.000,39.7100,servo
0.4025,52.000,52.500,1620.000,39.7100,servo
0.4218,52.000,52.500,1620.000,39.7100,servo
0.4453,52.000,52.500,1620.000,39.7100,servo
0.4602,52.000,52.500,1620.000,39.7100,servo
0.4801,52.000,52.500,1620.000,39.7100,servo
0.5020,52.000,52.500,1620.000,39.7100,servo
0.5202,52.000,52.500,1620.000,39.7100,servo
0.5409,52.000,52.500,1620.000,39.7100,servo
0.5609,52.000,52.500,1620.000,39.7100,servo
0.5807,52.000,52.500,1620.000,39.7100,servo
0.6011,52.000,52.500,1620.000,39.7100,servo
0.6210,52.000,52.500,1620.000,39.7100,servo
0.6408,52.000,52.500,1620.000,39.7100,servo
0.6616,52.000,52.500,1620.000,39.7100,servo
0.6820,52.000,52.500,1620.000,39.7100,servo
0.7008,52.000,52.500,1620.000,39.7100,servo
0.7210,52.000,52.500,1620.000,39.7100,servo
0.7416,52.000,52.500,1620.000,39.7100,servo
0.7613,52.000,52.500,1620.000,39.7100,servo
0.7818,52.000,52.500,1620.000,39.7100,servo
0.8020,52.000,52.500,1620.000,39.7100,servo
0.8201,52.000,52.500,1620.000,39.7100,servo
0.8407,52.000,52.500,1620.000,39.7100,servo
0.8626,52.000,52.500,1620.000,39.7100,servo
0.8824,52.000,52.500,1620.000,39.7100,servo
0.9002,52.000,52.500,1620.000,39.7100,servo
0.9213,52.000,52.500,1620.000,39.7100,servo
0.9423,52.000,52.500,1620.000,39.7100,servo
0.9606,52.000,52.500,1620.000,39.7100,servo
0.9813,52.000,52.500,1620.000,39.7100,servo
1.0015,142.000,52.500,1620.000,39.7100,servo
1.0214,142.000,52.500,1620.000,39.7100,servo
1.0420,142.000,52.500,1620.000,39.7100,servo
1.0619,142.000,52.500,1620.000,39.7100,servo
1.0800,142.000,52.500,1620.000,39.7100,servo
1.1014,142.000,52.500,1620.000,39.7100,servo
1.1219,142.000,52.500,1620.000,39.7100,servo
1.1402,142.000,52.500,1620.000,39.7100,servo
1.1622,142.000,52.500,1620.000,39.7100,servo
1.1823,142.000,52.500,1620.000,39.7100,servo
1.2005,142.000,52.500,1620.000,39.7100,servo
1.2215,142.000,52.500,1620.000,39.7100,servo
1.2409,142.000,52.500,1620.000,39.7100,servo
1.2609,142.000,52.500,1620.000,39.7100,servo
1.2819,142.000,52.500,1620.000,39.7100,servo
1.3020,142.000,52.500,1620.000,39.7100,servo
1.3205,142.000,52.500,1620.000,39.7100,servo
1.3414,142.000,52.500,1620.000,39.7100,servo
1.3623,142.000,52.500,1620.000,39.7100,servo
1.3824,142.000,52.500,1620.000,39.7100,servo
1.4000,142.000,52.500,1620.000,39.7100,servo
1.4201,142.000,52.500,1620.000,39.7100,servo
1.4423,142.000,52.500,1620.000,39.7100,servo
1.4624,142.000,52.500,1620.000,39.7100,servo
1.4821,142.000,52.500,1620.000,39.7100,servo
1.5000,142.000,52.500,1620.000,39.7100,servo
1.5205,142.000,52.500,1620.000,39.7100,servo
1.5409,142.000,52.500,1620.000,39.7100,servo
1.5610,142.000,52.500,1620.000,39.7100,servo
1.5825,142.000,52.500,1620.000,39.7100,servo
1.6004,142.000,52.500,1620.000,39.7100,servo
1.6226,142.000,52.500,1620.000,39.7100,servo
1.6403,142.000,52.500,1620.000,39.7100,servo
1.6619,142.000,52.500,1620.000,39.7100,servo
1.6801,142.000,52.500,1620.000,39.7100,servo
1.7020,142.000,52.500,1620.000,39.7100,servo
1.7201,142.000,52.500,1620.000,39.7100,servo
1.7409,142.000,52.500,1620.000,39.7100,servo
1.7610,142.000,52.500,1620.000,39.7100,servo
1.7808,142.000,52.500,1620.000,39.7100,servo
1.8025,142.000,52.500,1620.000,39.7100,servo
1.8204,142.000,52.500,1620.000,39.7100,servo
1.8408,142.000,52.500,1620.000,39.7100,servo
1.8605,142.000,52.500,1620.000,39.7100,servo
1.8823,142.000,52.500,1620.000,39.7100,servo
1.9009,142.000,52.500,1620.000,39.7100,servo
1.9202,142.000,52.500,1620.000,39.7100,servo
1.9404,142.000,52.500,1620.000,39.7100,servo
1.9621,142.000,52.500,1620.000,39.7100,servo
1.9801,142.000,52.500,1620.000,39.7100,servo
2.0025,142.000,52.500,1620.000,39.7100,servo
2.0200,142.000,52.500,1620.000,39.7100,servo
2.0406,142.000,52.500,1620.000,39.7100,servo
2.0612,142.000,52.500,1620.000,39.7100,servo
2.0807,142.000,52.500,1620.000,39.7100,servo
2.1006,142.000,52.500,1620.000,39.7100,servo
2.1213,142.000,52.500,1620.000,39.7100,servo
2.1415,142.000,52.500,1620.000,39.7100,servo
2.1623,142.000,52.500,1620.000,39.7100,servo
2.1820,142.000,52.500,1620.000,39.7100,servo
2.2019,142.000,52.500,1620.000,39.7100,servo
2.2221,142.000,52.500,1620.000,39.7100,servo
2.2405,142.000,52.500,1620.000,39.7100,servo
2.2611,142.000,52.500,1620.000,39.7100,servo
2.2820,142.000,52.500,1620.000,39.7100,servo
2.3019,142.000,52.500,1620.000,39.7100,servo
2.3202,142.000,52.500,1620.000,39.7100,servo
2.3422,142.000,52.500,1620.000,39.7100,servo
2.3620,142.000,52.500,1620.000,39.7100,servo
2.3808,142.000,52.500,1620.000,39.7100,servo
2.4007,142.000,52.500,1620.000,39.7100,servo
2.4218,142.000,52.500,1620.000,39.7100,servo
2.4415,142.000,52.500,1620.000,39.7100,servo
2.4622,142.000,52.500,1620.000,39.7100,servo
2.4817,142.000,52.500,1620.000,39.7100,servo
2.5015,142.000,52.500,1620.000,39.7100,servo
2.5210,142.000,52.500,1620.000,39.7100,servo
2.5410,142.000,52.500,1620.000,39.7100,servo
2.5611,142.000,52.500,1620.000,39.7100,servo
2.5816,142.000,52.500,1620.000,39.7100,servo
2.6019,142.000,52.500,1620.000,39.7100,servo
2.6224,142.000,52.500,1620.000,39.7100,servo
2.6401,142.000,52.500,1620.000,39.7100,servo
2.6608,142.000,52.500,1620.000,39.7100,servo
2.6801,142.000,52.500,1620.000,39.7100,servo
2.7024,142.000,52.500,1620.000,39.7100,servo
2.7225,142.000,52.500,1620.000,39.7100,servo
2.7406,142.000,52.500,1620.000,39.7100,servo
2.7615,142.000,52.500,1620.000,39.7100,servo
2.7825,142.000,52.500,1620.000,39.7100,servo
2.8010,142.000,52.500,1620.000,39.7100,servo
2.8217,142.000,52.500,1620.000,39.7100,servo
2.8412,142.000,52.500,1620.000,39.7100,servo
2.8621,142.000,52.500,1620.000,39.7100,servo
2.8818,142.000,52.500,1620.000,39.7100,servo
2.9019,142.000,52.500,1620.000,39.7100,servo
2.9223,142.000,52.500,1620.000,39.7100,servo
2.9417,142.000,52.500,1620.000,39.7100,servo
2.9620,142.000,52.500,1620.000,39.7100,servo
2.9822,142.000,52.500,1620.000,39.7100,servo
3.0005,142.000,52.500,1620.000,39.7100,servo
3.0209,142.000,52.500,1620.000,39.7100,servo
3.0412,142.000,52.500,1620.000,39.7100,servo
3.0610,142.000,52.500,1620.000,39.7100,servo
3.0801,142.000,52.500,1620.000,39.7100,servo
3.1017,142.000,52.500,1620.000,39.7100,servo
3.1216,142.000,52.500,1620.000,39.7100,servo
3.1419,142.000,52.500,1620.000,39.7100,servo
3.1600,142.000,52.500,1620.000,39.7100,servo
3.1824,142.000,52.500,1620.000,39.7100,servo
3.2019,142.000,52.500,1620.000,39.7100,servo
3.2220,142.000,52.500,1620.000,39.7100,servo
3.2420,142.000,52.500,1620.000,39.7100,servo
3.2622,142.000,52.500,1620.000,39.7100,servo
3.2801,142.000,52.500,1620.000,39.7100,servo
3.3004,142.000,52.500,1620.000,39.7100,servo
3.3210,142.000,52.500,1620.000,39.7100,servo
3.3413,142.000,52.500,1620.000,39.7100,servo
3.3616,142.000,52.500,1620.000,39.7100,servo
3.3824,142.000,52.500,1620.000,39.7100,servo
3.4008,142.000,52.500,1620.000,39.7100,servo
3.4201,142.000,52.500,1620.000,39.7100,servo
3.4419,142.000,52.500,1620.000,39.7100,servo
3.4602,142.000,52.500,1620.000,39.7100,servo
3.4804,142.000,52.500,1620.000,39.7100,servo
3.5011,142.000,52.500,1620.000,39.7100,servo
3.5218,142.000,52.500,1620.000,39.7100,servo
3.5402,142.000,52.500,1620.000,39.7100,servo
3.5606,142.000,52.500,1620.000,39.7100,servo
3.5801,142.000,52.500,1620.000,39.7100,servo
3.6010,142.000,52.500,1620.000,39.7100,servo
3.6218,142.000,52.500,1620.000,39.7100,servo
3.6401,142.000,52.500,1620.000,39.7100,servo
3.6610,142.000,52.500,1620.000,39.7100,servo
3.6820,142.000,52.500,1620.000,39.7100,servo
3.7005,142.000,52.500,1620.000,39.7100,servo
3.7223,142.000,52.500,1620.000,39.7100,servo
3.7405,142.000,52.500,1620.000,39.7100,servo
3.7618,142.000,52.500,1620.000,39.7100,servo
3.7820,142.000,52.500,1620.000,39.7100,servo
3.8007,142.000,52.500,1620.000,39.7100,servo
3.8212,142.000,52.500,1620.000,39.7100,servo
3.8410,142.000,52.500,1620.000,39.7100,servo
3.8611,142.000,52.500,1620.000,39.7100,servo
3.8811,142.000,52.500,1620.000,39.7100,servo
3.9012,142.000,52.500,1620.000,39.7100,servo
3.9216,142.000,52.500,1620.000,39.7100,servo
3.9414,142.000,52.500,1620.000,39.7100,servo
3.9618,142.000,52.500,1620.000,39.7100,servo
3.9826,142.000,52.500,1620.000,39.7100,servo
